id,talep_metni,birim,modul,surec_talep_tipi,oncelik
58,Zeynep Hanım için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
59,dün için şirket aracı talep ediyorum.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
60,"İzmir şubesi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
61,VPN şifremi girmeme rağmen bağlantı sağlanamıyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
62,Toplantı öncesi Lojistik binası'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
63,Outlook sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
64,"muhasebe programı dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Kritik
65,Zeynep Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
66,305 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
67,geçen hafta için şirket aracı talep ediyorum.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
68,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
69,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
70,207 TL tutarındaki satınalma talebimin onaylanmasını rica ederim.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Orta
71,"Kocaeli fabrikası'da el dezenfektanı bitti, yenisi gerekiyor.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
72,"Ana bina'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
73,Lojistik binası yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
74,Satış ofisi için servis saatleri hakkında bilgi almak istiyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
75,"Hesabım kilitlendi, şifre sıfırlama talep ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
76,Dahili hattım bugün beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Orta
77,bu sabah için şirket aracı talep ediyorum.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
78,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
79,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
80,Ana bina'a yeni bir çalışma masası talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
81,Muhasebe birimi'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
82,İnsan Kaynakları katı sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
83,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
84,Saha çalışması için bir araca ihtiyacımız var.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Düşük
85,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
86,"dün itibarıyla izne çıkmak istiyorum, onay rica ederim.",İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
87,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
88,"Muhasebe birimi'da el terminalim çalışmıyor, teknisyen gönderebilir misiniz?",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Kritik
89,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
90,"Lojistik binası'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
91,Depo'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
92,"Depo'daki yazıcının toneri bitti, yenisi gerekiyor.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
93,"Şifremi unuttum, sıfırlanmasını rica ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
94,Emre Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
95,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
96,"RAM yetersiz kalıyor, masaüstü bilgisayarım için yükseltme talep ediyorum.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
97,10 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Orta
98,"Elif Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
99,"Excel şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
100,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
101,bugün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
102,"İş telefonumun hattı arızalı, yenisi gerekiyor.",Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
103,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
104,Projemiz için 2 adet ek bilgisayar temin edilebilir mi?,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
105,"SSD değişimi için talep açmak istiyorum, masaüstü bilgisayarım çok yavaş.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
106,Görüşme yapılan adaylar için geri bildirim formu talep ediyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
107,VPN şifremi girmeme rağmen bağlantı sağlanamıyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
108,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
109,İnsan Kaynakları katı'da yeni alınan yazıcının kurulumu yapılabilir mi?,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
110,Yurt dışı hattı açılması için talep oluşturuyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
111,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
112,VPN istemcisi sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
113,Görüşme yapılan adaylar için geri bildirim formu talep ediyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Orta
114,Ali Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
115,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
116,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
117,"Ali Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
118,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
119,"3. kat için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
120,Gökhan Bey için yeni bir sistem hesabı açılmasını rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
121,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
122,"Lojistik binası'da el dezenfektanı bitti, yenisi gerekiyor.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
123,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
124,"Kocaeli fabrikası'daki yazıcının toneri bitti, yenisi gerekiyor.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Düşük
125,Mehmet Bey'e CRM uygulaması için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
126,Tuvalet kağıdı ve kağıt havlu talep ediyorum.,İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
127,İzmir şubesi yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
128,"Kocaeli fabrikası'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
129,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
130,Fatma Hanım rahatsızlandığı için bugün rapor kullanacak.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
131,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
132,az önce için ziyaretçi girişi talep ediyorum.,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Orta
133,Burak Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
134,"Selin Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
135,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Düşük
136,"Satış ofisi'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
137,ITSM portalı eğitimine kayıt olmak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Orta
138,458 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
139,Fatma Hanım'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
140,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Orta
141,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
142,Gökhan Bey için şirket telefonu talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Düşük
143,"İK ofisi'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
144,Gökhan Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
145,Deniz Hanım ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
146,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
147,"Ana bina genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Kritik
148,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
149,Selin Hanım ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
150,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
151,Satış ofisi'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
152,İnsan Kaynakları katı sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
153,Elif Hanım hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
154,"SAP dosyalarımı kaydetmiyor, acil bakılabilir mi?",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Yüksek
155,Ayşe Hanım için yeni bir klavye ve fare talebinde bulunuyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
156,Toplantı öncesi Genel Müdürlük'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
157,"Çağrı merkezi'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
158,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
159,Ayşe Hanım servis güzergahının değiştirilmesini talep ediyor.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
160,Misafir Wi-Fi ağına erişim talep ediyorum.,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
161,Hangi eğitimlere katılabileceğimi öğrenmek istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
162,Genel Müdürlük yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
163,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
164,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Yüksek
165,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
166,"Çağrı merkezi sunucusu yanıt vermiyor, acil kontrol gerekiyor.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Yüksek
167,Departmanımıza bir uzman alımı için talep oluşturuyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
168,"İstifa dilekçemi iletmek istiyorum, süreç hakkında bilgi rica ederim.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
169,bugün için şirket aracı talep ediyorum.,İdari İşler,Ulaşım/Araç,Araç Tahsis Talebi,Orta
170,"Çağrı merkezi'da internet bağlantısı kesik, bu ay içinde beri.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
171,Gökhan Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Düşük
172,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
173,"Hijyen malzemeleri stoku azaldı, tedarik rica ederim.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
174,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
175,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
176,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Yüksek
177,Vizite kağıdı talebinde bulunuyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
178,Ayşe Hanım'e SAP için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
179,"Araç periyodik bakım zamanı geldi, randevu talep ediyorum.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
180,Muhasebe birimi'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
181,Zeynep Hanım'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
182,Caner Bey için şirket telefonu talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
183,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
184,bugün saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
